ReadGroup	Library	Sample	Total	Mapped	Duplicates	LENGTH_ESTIMATE	TEL0	TEL1	TEL2	TEL3	TEL4	TEL5	TEL6	TEL7	TEL8	TEL9	TEL10	TEL11	TEL12	TEL13	TEL14	TEL15	TEL16	GC0	GC1	GC2	GC3	GC4	GC5	GC6	GC7	GC8	GC9	
lane5	UNKNOWN	DB166	408861650	408625818	7611021	0.741786	394747929	13915110	181642	8132	4034	868	508	265	181	123	119	88	88	139	247	677	1500	28925131	25176536	22289843	20249087	18065103	15351124	12845466	10845425	8892261	6711143	
lane6	UNKNOWN	DB166	244147414	243993935	3555578	0.576515	235731475	8299645	107467	4399	2176	470	243	130	91	62	54	61	43	51	103	288	656	17277640	14927309	13101308	11803088	10467151	8841428	7348548	6165013	5015620	3766287	
lane3	UNKNOWN	DB167	269879897	269705485	3387382	1.20751	260559780	9188470	119862	4854	2024	700	345	200	157	106	93	86	123	140	289	835	1833	19295904	16920334	15086926	13813495	12449684	10683848	9006553	7652555	6335456	4845553	
lane4	UNKNOWN	DB167	316898931	316700024	4425005	1.17611	305953058	10791204	141541	5488	2185	741	364	237	168	129	122	108	132	188	306	942	2018	22613709	19760263	17560445	16034222	14413263	12339267	10373938	8795088	7260562	5542538	
lane7	UNKNOWN	DB168	235859972	235594295	3512311	0.672537	227743614	8003123	105279	4631	744	514	259	153	112	62	54	39	45	66	132	350	795	16902171	14658221	12948926	11764723	10504681	8940170	7482418	6305802	5161775	3888345	
lane8	UNKNOWN	DB168	287181542	286867658	4071642	0.591581	277280104	9763788	128410	5382	970	633	306	180	100	77	71	45	51	84	135	346	860	20498395	17835992	15801398	14383589	12866234	10963545	9195000	7782353	6386485	4824334	
lane3	UNKNOWN	DB169	265896380	265717444	2976370	0.475501	256757497	9012712	118242	4753	827	607	278	160	114	85	57	63	73	98	133	268	413	19176448	16666391	14731260	13389417	12007997	10261555	8620167	7302973	6008366	4553036	
lane4	UNKNOWN	DB169	317048345	316831279	3840912	0.494835	306130145	10767574	141003	5798	958	728	339	221	142	104	68	68	66	106	157	344	524	22870759	19834122	17492197	15869008	14185038	12125767	10168766	8594804	7057404	5353695	
lane1	UNKNOWN	DB170	296732924	296452915	3053528	1.7493	286802293	9788416	128096	5132	1096	834	450	276	247	208	190	204	260	337	547	1438	2900	21494793	18949912	17047391	15913356	14623258	12695532	10815518	9321661	7835290	6080253	
lane2	UNKNOWN	DB170	307825071	307517578	3153266	1.44165	297523624	10155768	132566	5043	1049	833	473	285	243	184	174	217	250	319	540	1265	2238	22338267	19749905	17828315	16673280	15332117	13341192	11380192	9811000	8248526	6386979	
lane505	UNKNOWN	DB171	221049092	220903646	1821704	1.28421	213410033	7531773	98408	3973	740	517	287	163	148	88	72	99	96	165	283	739	1508	15942983	13988079	12452997	11362830	10198276	8731938	7338346	6216485	5120163	3895635	
lane506	UNKNOWN	DB171	133932717	133830343	842073	0.967722	129300935	4567786	59518	2118	414	292	155	84	58	48	40	33	54	93	145	328	616	9671042	8435711	7461274	6768452	6045351	5158653	4320105	3637276	2978793	2260072	
lane507	UNKNOWN	DB171	133887352	133621743	1053194	0.869958	129261043	4560029	59211	3329	1824	309	165	108	71	50	55	50	48	70	138	320	532	9703484	8551384	7687676	7096125	6446403	5542762	4673424	3978038	3288954	2508373	
lane508	UNKNOWN	DB171	166688364	166399728	1261252	0.818603	160926083	5679801	73975	4011	2199	390	194	151	79	71	46	34	73	94	145	337	681	12062851	10664760	9623686	8921005	8118290	6999874	5918681	5049581	4191008	3200497	
lane1	UNKNOWN	DB172	293617703	293394247	3632456	2.5498	283676086	9798431	127564	4852	1063	796	417	233	184	146	177	145	209	292	562	1822	4724	20819489	18075668	15961235	14524780	13002484	11092566	9304820	7890919	6498468	4909182	
lane2	UNKNOWN	DB172	293341347	293105407	3696120	2.62122	283392673	9805121	127611	4886	1135	794	409	278	208	168	191	161	218	250	587	1821	4836	20772652	18027256	15933932	14494881	12980557	11076145	9294602	7872460	6482697	4892059	
lane1	UNKNOWN	DB173	355309235	355045449	3857817	0.941702	343160634	11978322	157695	5984	1259	877	436	281	194	139	121	157	122	168	322	823	1701	25863687	22577490	20054784	18388642	16630277	14308141	12097720	10309865	8559349	6547224	
lane2	UNKNOWN	DB173	298722578	298319458	2633996	1.36535	288500457	10076033	133388	5205	1156	792	442	289	218	163	207	203	253	372	530	994	1876	22004039	19412785	17336749	15933776	14483012	12561138	10697554	9149229	7640574	5920119	
lane3	UNKNOWN	DB174	231324549	231066568	1639066	1.81028	223576147	7636647	100144	4030	883	673	419	233	231	150	186	182	209	275	529	1227	2384	16807177	15011385	13681913	12898697	11961991	10437100	8935755	7732024	6525764	5068538	
lane4	UNKNOWN	DB174	287908609	287533952	2340878	1.92696	278251943	9516562	125179	5078	1130	846	477	314	208	228	203	238	290	365	609	1642	3297	20945221	18672335	16985342	15996955	14822440	12931737	11059432	9567790	8068484	6281715	
